date,exports
2015-01-01,0.4980772
2015-02-01,29.20206
2015-03-01,-36.21817
2015-04-01,11.77274
2015-05-01,4.160822
2015-06-01,-1.063127
2015-07-01,-2.236705
2015-08-01,2.616053
2015-09-01,1.554824
2015-10-01,-1.249104
2015-11-01,-3.445419
2015-12-01,4.838155
2016-01-01,-10.96004
2016-02-01,5.175859
2016-03-01,-3.207772
2016-04-01,0.5649126
2016-05-01,0.4012866
2016-06-01,-0.4074621
2016-07-01,0.9514895
2016-08-01,1.368854
2016-09-01,-3.408904
2016-10-01,2.711617
2016-11-01,0.4662105
2016-12-01,2.184384
2017-01-01,-0.629664
2017-02-01,-0.9419876
2017-03-01,10.314
2017-04-01,-4.365925
2017-05-01,-1.096501
2017-06-01,2.41178
2017-07-01,-1.795301
2017-08-01,0.6722743
2017-09-01,-0.1334362
2017-10-01,-0.4803192
2017-11-01,6.451617
2017-12-01,2.740686
2018-01-01,-4.277369
2018-02-01,29.78037
2018-03-01,-24.48351
2018-04-01,9.056644
2018-05-01,-0.1114644
2018-06-01,1.546847
2018-07-01,-2.514095
2018-08-01,-0.6119536
2018-09-01,5.511071
2018-10-01,-2.066446
2018-11-01,-1.711648
2018-12-01,-5.436186
2019-01-01,7.137663
2019-02-01,-6.334088
2019-03-01,10.80175
2019-04-01,-8.224488
2019-05-01,4.788001
2019-06-01,-0.03096309
2019-07-01,-0.346674
2019-08-01,-1.508284
2019-09-01,0.09376992
2019-10-01,0.4324371
2019-11-01,-0.9967186
2019-12-01,2.834809
2020-01-01,-3.911031
2020-02-01,-44.3955
2020-03-01,77.709
2020-04-01,3.368276
2020-05-01,0.9071797
2020-06-01,-0.9495701
2020-07-01,8.400572
2020-08-01,1.723042
2020-09-01,-1.548225
2020-10-01,3.730709
2020-11-01,6.761732
2020-12-01,-0.2832195
2021-01-01,3.05633
2021-02-01,11.33678
2021-03-01,-10.24274
2021-04-01,6.516896
2021-05-01,-1.802836
2021-06-01,1.686619
2021-07-01,-0.5326738
2021-08-01,5.003688
2021-09-01,1.374949
2021-10-01,4.07589
2021-11-01,1.150088
2021-12-01,-0.01409845
2022-01-01,3.348136
2022-02-01,-5.069542
2022-03-01,-4.293346
2022-04-01,-1.740233
2022-05-01,9.112321
2022-06-01,2.118102
2022-07-01,2.338395
2022-08-01,-6.342881
2022-09-01,0.8322635
2022-10-01,-1.563423
2022-11-01,-6.854761
2022-12-01,-1.750907
2023-01-01,0.6422424
2023-02-01,5.519787
2023-03-01,6.714691
2023-04-01,-2.987879
2023-05-01,-6.729723
2023-06-01,-1.984043
2023-07-01,1.267802
2023-08-01,-0.6467854
2023-09-01,3.932663
2023-10-01,-3.156435
2023-11-01,1.414167
2023-12-01,0.3645109
2024-01-01,3.300379
2024-02-01,2.852249
2024-03-01,-4.15788
2024-04-01,2.303593
2024-05-01,1.59787
2024-06-01,1.232506
2024-07-01,-3.362392
2024-08-01,3.423954
2024-09-01,-2.49989
2024-10-01,5.502785
2024-11-01,-2.534147
2024-12-01,1.792013
